TaskID,Completed,Description
1.1 Anti-windup PID,True,"Implement anti-windup PID scheme (TW = ts,5%/5)"
1.2 Sim Validation: Anti-windup,True,"Validate anti-windup in Simulink, step input 360°"
1.3 Feedforward Compensator,True,"Implement feedforward using Jeq, Beq, τsf"
1.4 Sim Validation: Feedforward,True,"Validate feedforward on periodic input"
2.1 Nominal State-Space Controller,True,"Design state-space controller for step tracking (nominal)"
2.2 Sim Validation: Nominal,True,"Validate nominal state-space controller in Simulink"
2.3 Robust State-Space Controller (Integral),True,"Design robust controller using integral action"
2.4 Sim Validation: Robust,True,"Validate robust controller for setpoints (40°, 70°, 120°)"
2.5 Robust Tracking: Sinusoid,True,"Design controller using internal model for sinusoid (Tr=0.5s)"
2.6 Sim Validation: Sinusoid,True,"Validate sinusoidal tracking (30°, 60°, 90°)"
2.7 Test Mismatch Period,True,"Test tracking sinusoid (Ar=40°, Tr=0.1s)"
2.8 Step Input Test,True,"Test step input (40°) on sinusoidal controller"
3.1 Exp Validation: Anti-windup,False,"Experimental test for anti-windup"
3.2 Exp Validation: Feedforward,False,"Experimental test for feedforward"
3.3 Exp Nominal Controller,False,"Test nominal state-space controller experimentally"
3.4 Exp Robust Integral,False,"Test robust controller with integral action"
3.5 Exp Robust Sinusoidal,False,"Test sinusoidal tracking with internal model"
